us_state,county,poverty_estimate,poverty_percentage
IN,Madison,"16,056",13.1
IN,Marion,"143,107",15.2
IN,Marshall,"4,947",10.9
IN,Martin,"1,098",10.9
IN,Miami,"4,162",13.0
IN,Monroe,"27,710",20.8
IN,Montgomery,"4,478",12.1
IN,Morgan,"6,201",8.9
IN,Newton,"1,300",9.5
IN,Noble,"3,662",7.8
IN,Ohio,554,9.6
IN,Orange,"2,728",14.1
IN,Owen,"2,447",12.0
IN,Parke,"2,308",15.1
IN,Perry,"2,113",12.1
IN,Pike,"1,140",9.4
IN,Porter,"13,421",8.1
IN,Posey,"2,167",8.6
IN,Pulaski,"1,357",11.2
IN,Putnam,"3,408",10.5
IN,Randolph,"3,222",13.3
IN,Ripley,"2,525",9.1
IN,Rush,"1,785",11.0
IN,St. Joseph,"39,848",15.3
IN,Scott,"3,194",13.6
IN,Shelby,"4,414",10.1
IN,Spencer,"1,728",8.7
IN,Starke,"3,046",13.3
IN,Steuben,"2,846",8.6
IN,Sullivan,"2,643",14.4
IN,Switzerland,"1,529",14.5
IN,Tippecanoe,"28,780",16.1
IN,Tipton,"1,166",7.8
IN,Union,667,9.6
IN,Vanderburgh,"25,190",14.4
IN,Vermillion,"1,859",12.2
IN,Vigo,"20,241",20.8
IN,Wabash,"3,163",10.9
IN,Warren,766,9.4
IN,Warrick,"3,888",6.3
IN,Washington,"3,325",12.1
IN,Wayne,"9,577",15.2
IN,Wells,"2,041",7.4
IN,White,"2,429",10.3
IN,Whitley,"2,559",7.7
IA,Iowa,"337,156",11.0
IA,Adair,750,10.7
IA,Adams,450,12.5
IA,Allamakee,"1,745",13.0
IA,Appanoose,"2,373",19.3
IA,Audubon,587,10.9
IA,Benton,"1,964",7.8
IA,Black Hawk,"17,407",13.7
IA,Boone,"2,227",8.7
IA,Bremer,"1,581",6.7
IA,Buchanan,"1,984",9.5
IA,Buena Vista,"1,903",10.2
IA,Butler,"1,492",10.5
IA,Calhoun,"1,032",11.5
