us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
GA,Murray,12/31/2018,271,241,30,0,0,0,0,100,51,37,0,0,222,0,49,0
GA,Muscogee,12/31/2018,364,305,59,0,0,0,0,98,55,34,0,0,178,0,186,0
GA,Pike,12/31/2018,288,274,13,1,0,0,0,115,46,33,0,0,288,0,0,0
GA,Richmond,12/31/2018,364,261,97,6,0,0,0,150,59,40,0,0,106,26,223,9
GA,Rockdale,12/31/2018,243,200,41,2,0,0,0,112,61,36,0,0,243,0,0,0
GA,Sumter,12/31/2018,241,219,22,0,0,0,0,80,50,34,0,0,241,0,0,0
GA,Walker,12/31/2018,347,269,78,0,0,0,0,72,56,35,0,0,0,0,347,0
GA,Washington,12/31/2018,121,110,11,0,0,0,0,67,50,28,0,0,0,0,121,0
HI,Hawaii,12/31/2018,365,127,68,66,99,5,0,249,200,87,0,0,0,221,144,0
HI,Honolulu,12/31/2018,365,358,7,0,0,0,0,75,41,30,0,2,241,41,74,7
HI,Kauai,12/31/2018,355,355,0,0,0,0,0,48,29,15,0,166,0,0,189,0
HI,Maui,12/31/2018,361,357,4,0,0,0,0,73,29,19,0,0,0,0,361,0
ID,Ada,12/31/2018,365,283,75,7,0,0,0,134,69,40,3,0,267,0,91,4
ID,Bannock,12/31/2018,365,305,56,2,2,0,0,174,57,30,0,0,0,143,162,60
ID,Benewah,12/31/2018,361,219,129,11,2,0,0,161,78,42,0,0,0,0,361,0
ID,Blaine,12/31/2018,363,327,33,3,0,0,0,143,48,13,0,0,0,0,363,0
ID,Boise,12/31/2018,365,237,122,6,0,0,0,130,67,40,0,0,0,0,365,0
ID,Bonner,12/31/2018,363,308,39,11,4,1,0,245,60,29,0,0,0,0,318,45
ID,Bonneville,12/31/2018,352,306,43,2,1,0,0,154,55,27,0,0,0,0,352,0
ID,Butte,12/31/2018,363,313,47,3,0,0,0,115,54,40,0,0,354,0,9,0
ID,Canyon,12/31/2018,365,283,77,5,0,0,0,134,65,28,0,0,0,0,290,75
ID,Caribou,12/31/2018,363,362,1,0,0,0,0,55,17,3,0,0,0,363,0,0
ID,Custer,12/31/2018,90,85,3,2,0,0,0,128,19,5,0,0,0,0,90,0
ID,Franklin,12/31/2018,319,278,38,3,0,0,0,124,56,19,0,0,0,0,319,0
ID,Idaho,12/31/2018,365,297,66,2,0,0,0,134,60,39,0,0,231,0,134,0
ID,Jerome,12/31/2018,320,287,28,5,0,0,0,145,51,18,0,0,0,0,320,0
ID,Kootenai,12/31/2018,331,272,49,5,4,1,0,204,60,25,0,0,0,0,331,0
ID,Latah,12/31/2018,365,339,20,5,1,0,0,176,40,10,0,0,0,0,365,0
ID,Lemhi,12/31/2018,360,260,97,3,0,0,0,121,70,29,0,0,0,0,360,0
ID,Nez Perce,12/31/2018,365,308,52,4,1,0,0,179,63,19,0,0,0,0,365,0
ID,Shoshone,12/31/2018,365,217,135,12,1,0,0,153,83,43,0,0,0,0,358,7
ID,Twin Falls,12/31/2018,355,313,37,3,2,0,0,151,55,29,0,0,0,0,355,0
ID,Valley,12/31/2018,353,297,54,2,0,0,0,108,58,22,0,0,0,0,353,0
IL,Adams,12/31/2018,245,228,17,0,0,0,0,87,49,35,0,0,245,0,0,0
IL,Champaign,12/31/2018,365,283,78,4,0,0,0,112,61,42,0,0,222,0,143,0
IL,Clark,12/31/2018,359,337,21,1,0,0,0,101,48,32,0,0,359,0,0,0
IL,Cook,12/31/2018,365,152,194,15,4,0,0,177,84,54,0,48,120,0,189,8
IL,DuPage,12/31/2018,361,231,126,4,0,0,0,112,69,45,0,0,135,0,226,0
IL,Effingham,12/31/2018,245,214,30,1,0,0,0,112,51,39,0,0,245,0,0,0
IL,Hamilton,12/31/2018,362,284,75,3,0,0,0,105,59,40,0,0,170,0,192,0
IL,Jersey,12/31/2018,356,277,76,3,0,0,0,122,64,42,0,0,195,0,161,0
IL,Jo Daviess,12/31/2018,344,323,19,2,0,0,0,119,47,33,0,0,344,0,0,0
IL,Kane,12/31/2018,364,294,65,5,0,0,0,122,61,38,0,0,310,0,54,0
IL,La Salle,12/31/2018,362,360,2,0,0,0,0,62,6,1,0,0,0,362,0,0
IL,Lake,12/31/2018,352,304,40,6,2,0,0,164,58,35,0,0,352,0,0,0
IL,Macon,12/31/2018,365,172,179,14,0,0,0,126,80,51,0,0,98,103,164,0
IL,Macoupin,12/31/2018,364,331,30,3,0,0,0,115,50,34,0,88,244,32,0,0
IL,Madison,12/31/2018,365,221,134,8,2,0,0,154,72,46,0,0,206,0,152,7
IL,McHenry,12/31/2018,362,256,98,8,0,0,0,122,70,42,0,0,240,0,122,0
IL,McLean,12/31/2018,365,248,116,1,0,0,0,108,64,44,0,0,167,0,198,0
IL,Monroe,12/31/2018,365,365,0,0,0,0,0,41,9,3,0,0,0,365,0,0
IL,Peoria,12/31/2018,365,255,107,3,0,0,0,101,64,43,0,0,192,0,173,0
IL,Randolph,12/31/2018,363,289,73,1,0,0,0,129,57,41,0,0,185,0,178,0
IL,Rock Island,12/31/2018,365,279,85,1,0,0,0,101,59,40,0,0,231,0,134,0
IL,St. Clair,12/31/2018,364,265,94,4,1,0,0,174,64,44,2,21,146,0,195,0
IL,Sangamon,12/31/2018,363,253,109,1,0,0,0,122,63,43,0,0,197,0,166,0
IL,Tazewell,12/31/2018,137,137,0,0,0,0,0,27,4,1,0,0,0,137,0,0
IL,Wabash,12/31/2018,363,359,4,0,0,0,0,61,14,1,0,0,0,363,0,0
IL,Will,12/31/2018,365,261,100,4,0,0,0,126,67,43,0,0,216,0,149,0
IL,Winnebago,12/31/2018,362,316,43,2,1,0,0,151,54,35,0,0,346,0,16,0
IN,Allen,12/31/2018,365,258,101,6,0,0,0,122,66,43,0,0,216,0,149,0
IN,Bartholomew,12/31/2018,365,290,71,4,0,0,0,108,61,40,0,0,242,0,123,0
IN,Boone,12/31/2018,365,324,36,5,0,0,0,112,54,34,0,0,365,0,0,0
IN,Brown,12/31/2018,363,339,24,0,0,0,0,97,48,33,0,0,363,0,0,0
IN,Carroll,12/31/2018,359,337,19,3,0,0,0,115,48,32,0,0,359,0,0,0
IN,Clark,12/31/2018,357,297,56,4,0,0,0,122,59,36,0,0,305,0,52,0
IN,Daviess,12/31/2018,325,325,0,0,0,0,0,21,6,0,0,0,0,325,0,0
IN,Delaware,12/31/2018,361,320,37,4,0,0,0,129,54,35,0,0,317,0,44,0
IN,Dubois,12/31/2018,119,96,23,0,0,0,0,87,58,31,0,0,0,0,116,3
IN,Elkhart,12/31/2018,363,285,75,3,0,0,0,105,58,38,0,0,194,0,169,0
IN,Floyd,12/31/2018,359,316,38,5,0,0,0,143,52,34,0,0,323,13,23,0
IN,Gibson,12/31/2018,363,353,10,0,0,0,0,84,23,1,0,0,0,363,0,0
IN,Greene,12/31/2018,361,310,48,3,0,0,0,129,56,37,0,0,322,0,39,0
IN,Hamilton,12/31/2018,365,292,67,6,0,0,0,129,59,40,0,0,227,0,138,0
