data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,days_co,days_no2,days_ozone,days_so2
IN,St. Joseph,12/31/2016,364,258,98,8,0,0,0,0,19,146,0
IN,Tippecanoe,12/31/2016,347,305,42,0,0,0,0,0,0,0,0
IN,Vanderburgh,12/31/2016,364,271,89,4,0,0,0,2,3,209,0
IN,Vigo,12/31/2016,366,236,122,7,1,0,0,0,0,126,29
IN,Wabash,12/31/2016,347,309,33,5,0,0,0,0,0,347,0
IN,Warrick,12/31/2016,243,183,55,4,1,0,0,0,0,183,60
IN,Wayne,12/31/2016,366,363,2,1,0,0,0,0,0,0,366
IN,Whitley,12/31/2016,356,308,48,0,0,0,0,0,14,0,0
IA,Black Hawk,12/31/2016,364,272,91,1,0,0,0,0,0,0,0
IA,Bremer,12/31/2016,213,196,17,0,0,0,0,0,0,213,0
IA,Cerro Gordo,12/31/2016,350,346,4,0,0,0,0,0,0,0,0
IA,Clinton,12/31/2016,366,176,189,1,0,0,0,0,0,71,2
IA,Delaware,12/31/2016,128,113,15,0,0,0,0,0,0,0,0
IA,Harrison,12/31/2016,212,188,24,0,0,0,0,0,0,212,0
IA,Johnson,12/31/2016,366,305,61,0,0,0,0,0,0,0,0
IA,Lee,12/31/2016,113,95,18,0,0,0,0,0,0,0,0
IA,Linn,12/31/2016,366,274,90,2,0,0,0,0,0,118,19
IA,Montgomery,12/31/2016,366,302,63,1,0,0,0,0,0,161,0
IA,Muscatine,12/31/2016,366,276,90,0,0,0,0,0,0,0,15
IA,Palo Alto,12/31/2016,366,306,58,1,1,0,0,0,0,149,0
IA,Polk,12/31/2016,366,312,53,1,0,0,0,0,8,137,0
IA,Pottawattamie,12/31/2016,137,127,10,0,0,0,0,0,0,0,0
IA,Scott,12/31/2016,366,131,233,2,0,0,0,0,0,71,0
IA,Story,12/31/2016,212,198,14,0,0,0,0,0,0,212,0
IA,Van Buren,12/31/2016,366,260,104,1,1,0,0,0,0,125,0
IA,Warren,12/31/2016,212,203,9,0,0,0,0,0,0,212,0
IA,Woodbury,12/31/2016,366,353,13,0,0,0,0,0,0,0,239
KS,Chase,12/31/2016,118,110,6,2,0,0,0,0,0,0,0
KS,Ford,12/31/2016,366,360,6,0,0,0,0,0,0,0,0
KS,Johnson,12/31/2016,366,341,25,0,0,0,0,0,0,311,0
KS,Leavenworth,12/31/2016,362,333,29,0,0,0,0,0,0,362,0
KS,Neosho,12/31/2016,366,336,30,0,0,0,0,0,0,329,0
KS,Sedgwick,12/31/2016,366,310,55,0,1,0,0,0,13,269,0
KS,Shawnee,12/31/2016,366,335,31,0,0,0,0,0,0,329,0
KS,Sherman,12/31/2016,58,48,10,0,0,0,0,0,0,0,0
KS,Sumner,12/31/2016,364,333,31,0,0,0,0,0,2,336,2
KS,Trego,12/31/2016,366,345,21,0,0,0,0,0,0,342,0
KS,Wyandotte,12/31/2016,365,281,82,2,0,0,0,0,17,192,0
KY,Bell,12/31/2016,261,236,23,1,1,0,0,0,0,235,0
KY,Boone,12/31/2016,241,212,29,0,0,0,0,0,0,241,0
KY,Boyd,12/31/2016,366,261,103,2,0,0,0,0,8,128,1
KY,Bullitt,12/31/2016,236,202,33,1,0,0,0,0,0,236,0
KY,Campbell,12/31/2016,363,250,110,3,0,0,0,0,5,126,1
KY,Carter,12/31/2016,286,264,21,1,0,0,0,0,0,229,0
KY,Christian,12/31/2016,283,245,38,0,0,0,0,0,0,222,0
KY,Daviess,12/31/2016,366,235,129,1,1,0,0,0,0,79,1
KY,Edmonson,12/31/2016,335,304,31,0,0,0,0,1,0,312,2
KY,Fayette,12/31/2016,362,296,66,0,0,0,0,0,30,204,0
KY,Greenup,12/31/2016,366,346,20,0,0,0,0,0,0,245,121
KY,Hancock,12/31/2016,242,200,39,3,0,0,0,0,0,242,0
KY,Hardin,12/31/2016,364,248,115,1,0,0,0,0,0,103,0
KY,Henderson,12/31/2016,366,246,116,4,0,0,0,0,0,111,0
KY,Jefferson,12/31/2016,366,217,134,14,1,0,0,0,14,170,1
KY,Jessamine,12/31/2016,366,330,35,1,0,0,0,0,0,245,121
KY,Livingston,12/31/2016,260,221,38,1,0,0,0,0,0,240,0
KY,Madison,12/31/2016,97,87,10,0,0,0,0,0,0,0,0
KY,McCracken,12/31/2016,366,262,103,1,0,0,0,0,1,91,1
KY,Morgan,12/31/2016,365,331,32,2,0,0,0,0,0,365,0
KY,Oldham,12/31/2016,241,204,34,3,0,0,0,0,0,241,0
KY,Perry,12/31/2016,352,281,69,1,1,0,0,0,0,88,0
