us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,poverty_estimate,poverty_percentage
IL,Jo Daviess,12/31/2019,363,351,12,0,0,0,0,"1,965",9.3
IL,Kane,12/31/2019,284,229,51,4,0,0,0,"43,305",8.2
IL,La Salle,12/31/2019,335,334,1,0,0,0,0,"12,837",12.2
IL,Lake,12/31/2019,245,210,33,2,0,0,0,"49,130",7.2
IL,Macon,12/31/2019,365,255,110,0,0,0,0,"16,762",16.7
IL,Macoupin,12/31/2019,365,348,17,0,0,0,0,"5,934",13.5
IL,Madison,12/31/2019,365,192,170,1,2,0,0,"28,284",10.9
IL,McHenry,12/31/2019,340,230,108,2,0,0,0,"16,380",5.4
IL,McLean,12/31/2019,364,256,108,0,0,0,0,"23,034",14.3
IL,Monroe,12/31/2019,286,286,0,0,0,0,0,"1,423",4.2
IL,Peoria,12/31/2019,364,284,78,2,0,0,0,"25,825",14.8
IL,Randolph,12/31/2019,324,264,60,0,0,0,0,"3,499",12.7
IL,Rock Island,12/31/2019,361,281,78,2,0,0,0,"18,669",13.6
IL,Saint Clair,12/31/2019,365,272,92,1,0,0,0,,
IL,Sangamon,12/31/2019,360,287,73,0,0,0,0,"23,367",12.2
IL,Tazewell,12/31/2019,346,346,0,0,0,0,0,"10,576",8.2
IL,Wabash,12/31/2019,364,361,3,0,0,0,0,"1,533",13.5
IL,Will,12/31/2019,365,260,105,0,0,0,0,"44,518",6.5
IL,Winnebago,12/31/2019,341,240,100,1,0,0,0,"44,613",16.1
IN,Allen,12/31/2019,365,262,102,1,0,0,0,"39,176",10.5
IN,Bartholomew,12/31/2019,364,298,66,0,0,0,0,"9,205",11.2
IN,Boone,12/31/2019,351,320,31,0,0,0,0,"4,619",6.9
IN,Brown,12/31/2019,365,349,16,0,0,0,0,"1,565",10.5
IN,Carroll,12/31/2019,358,333,25,0,0,0,0,"1,739",8.7
IN,Clark,12/31/2019,365,287,77,1,0,0,0,"11,267",9.7
IN,Daviess,12/31/2019,350,350,0,0,0,0,0,"3,686",11.3
IN,Delaware,12/31/2019,352,319,33,0,0,0,0,"22,680",21.5
IN,Dubois,12/31/2019,120,102,18,0,0,0,0,"2,465",5.9
IN,Elkhart,12/31/2019,365,294,71,0,0,0,0,"19,316",9.6
IN,Floyd,12/31/2019,363,338,25,0,0,0,0,"8,161",10.6
IN,Gibson,12/31/2019,359,355,4,0,0,0,0,"3,050",9.3
IN,Greene,12/31/2019,355,318,37,0,0,0,0,"4,242",13.5
IN,Hamilton,12/31/2019,365,268,95,2,0,0,0,"14,199",4.2
IN,Hendricks,12/31/2019,361,348,13,0,0,0,0,"8,123",4.9
IN,Henry,12/31/2019,119,106,13,0,0,0,0,"5,709",12.9
IN,Howard,12/31/2019,361,289,71,1,0,0,0,"9,880",12.2
IN,Huntington,12/31/2019,355,345,10,0,0,0,0,"3,407",9.7
IN,Jackson,12/31/2019,360,340,20,0,0,0,0,"4,391",10.1
IN,Knox,12/31/2019,359,328,31,0,0,0,0,"4,381",12.7
IN,LaPorte,12/31/2019,364,305,55,4,0,0,0,,
IN,Lake,12/31/2019,365,225,139,1,0,0,0,"69,073",14.5
IN,Madison,12/31/2019,365,286,78,1,0,0,0,"16,056",13.1
IN,Marion,12/31/2019,365,153,208,4,0,0,0,"143,107",15.2
IN,Monroe,12/31/2019,346,296,50,0,0,0,0,"27,710",20.8
IN,Morgan,12/31/2019,364,341,23,0,0,0,0,"6,201",8.9
IN,Perry,12/31/2019,358,322,36,0,0,0,0,"2,113",12.1
IN,Pike,12/31/2019,227,227,0,0,0,0,0,"1,140",9.4
IN,Porter,12/31/2019,365,264,93,8,0,0,0,"13,421",8.1
IN,Posey,12/31/2019,364,341,23,0,0,0,0,"2,167",8.6
IN,Shelby,12/31/2019,365,338,27,0,0,0,0,"4,414",10.1
IN,Spencer,12/31/2019,117,101,16,0,0,0,0,"1,728",8.7
IN,St. Joseph,12/31/2019,365,276,89,0,0,0,0,"39,848",15.3
IN,Sullivan,12/31/2019,116,99,17,0,0,0,0,"2,643",14.4
IN,Tippecanoe,12/31/2019,351,284,67,0,0,0,0,"28,780",16.1
IN,Vanderburgh,12/31/2019,365,296,69,0,0,0,0,"25,190",14.4
IN,Vigo,12/31/2019,365,238,126,1,0,0,0,"20,241",20.8
IN,Wabash,12/31/2019,351,319,32,0,0,0,0,"3,163",10.9
IN,Warrick,12/31/2019,365,337,28,0,0,0,0,"3,888",6.3
IN,Whitley,12/31/2019,352,285,67,0,0,0,0,"2,559",7.7
IA,Black Hawk,12/31/2019,363,296,67,0,0,0,0,"17,407",13.7
IA,Bremer,12/31/2019,243,228,15,0,0,0,0,"1,581",6.7
IA,Cerro Gordo,12/31/2019,118,118,0,0,0,0,0,"3,504",8.5
IA,Clinton,12/31/2019,364,268,96,0,0,0,0,"6,009",13.1
IA,Harrison,12/31/2019,241,222,19,0,0,0,0,"1,206",8.7
IA,Johnson,12/31/2019,364,278,86,0,0,0,0,"22,937",16.0
IA,Lee,12/31/2019,120,101,19,0,0,0,0,"4,859",15.0
IA,Linn,12/31/2019,365,287,78,0,0,0,0,"24,600",11.1
IA,Montgomery,12/31/2019,364,312,52,0,0,0,0,"1,279",13.2
IA,Muscatine,12/31/2019,365,300,65,0,0,0,0,"4,249",10.1
IA,Palo Alto,12/31/2019,364,305,59,0,0,0,0,952,11.1
IA,Polk,12/31/2019,365,306,59,0,0,0,0,"48,468",10.1
IA,Pottawattamie,12/31/2019,130,111,19,0,0,0,0,"10,002",11.0
IA,Scott,12/31/2019,365,222,141,2,0,0,0,"20,016",11.8
IA,Van Buren,12/31/2019,361,310,51,0,0,0,0,895,12.8
IA,Woodbury,12/31/2019,118,105,13,0,0,0,0,"12,882",12.8
KS,Chase,12/31/2019,118,112,5,1,0,0,0,285,11.4
KS,Ford,12/31/2019,304,301,3,0,0,0,0,"4,522",13.8
KS,Johnson,12/31/2019,362,336,26,0,0,0,0,"31,666",5.3
KS,Leavenworth,12/31/2019,362,347,15,0,0,0,0,"6,255",8.3
KS,Neosho,12/31/2019,365,282,82,1,0,0,0,"2,426",15.7
KS,Sedgwick,12/31/2019,365,313,52,0,0,0,0,"64,061",12.6
KS,Shawnee,12/31/2019,365,294,70,0,1,0,0,"16,817",9.8
KS,Sherman,12/31/2019,358,354,4,0,0,0,0,725,12.5
KS,Sumner,12/31/2019,365,317,48,0,0,0,0,"2,542",11.4
KS,Trego,12/31/2019,364,342,21,0,1,0,0,295,10.8
KS,Wyandotte,12/31/2019,365,291,73,1,0,0,0,"33,777",20.6
KY,Bell,12/31/2019,263,243,20,0,0,0,0,"7,569",30.3
KY,Boone,12/31/2019,239,222,17,0,0,0,0,"9,435",7.1
KY,Boyd,12/31/2019,365,313,52,0,0,0,0,"9,186",20.6
KY,Bullitt,12/31/2019,243,214,29,0,0,0,0,"6,294",7.8
KY,Campbell,12/31/2019,363,299,63,1,0,0,0,"9,833",10.9
KY,Carter,12/31/2019,285,278,7,0,0,0,0,"5,207",20.0
KY,Christian,12/31/2019,278,251,27,0,0,0,0,"12,219",18.9
KY,Daviess,12/31/2019,364,282,81,1,0,0,0,"15,213",15.4
KY,Edmonson,12/31/2019,365,290,75,0,0,0,0,"1,925",16.0
KY,Fayette,12/31/2019,364,307,57,0,0,0,0,"47,657",15.4
KY,Greenup,12/31/2019,362,357,5,0,0,0,0,"5,490",15.9
