data_state,county,poverty_estimate,poverty_percentage
GA,Jeff Davis,"3,063",20.6
GA,Jefferson,"3,328",22.3
GA,Jenkins,"2,374",31.8
GA,Johnson,"2,415",30.0
GA,Jones,"4,098",14.5
GA,Lamar,"3,064",17.3
GA,Lanier,"2,043",20.3
GA,Laurens,"11,375",24.6
GA,Lee,"3,579",12.4
GA,Liberty,"9,562",16.1
GA,Lincoln,"1,346",17.2
GA,Long,"3,134",16.8
GA,Lowndes,"28,539",25.9
GA,Lumpkin,"4,494",14.9
GA,McDuffie,"4,223",19.9
GA,McIntosh,"3,055",21.5
GA,Macon,"3,417",30.5
GA,Madison,"4,722",16.1
GA,Marion,"1,884",22.8
GA,Meriwether,"5,071",24.4
GA,Miller,"1,246",22.4
GA,Mitchell,"5,849",29.3
GA,Monroe,"3,411",13.0
GA,Montgomery,"1,847",22.1
GA,Morgan,"2,374",12.7
GA,Murray,"5,987",15.2
GA,Muscogee,"37,759",20.1
GA,Newton,"15,946",14.8
GA,Oconee,"2,215",5.7
GA,Oglethorpe,"2,049",13.8
GA,Paulding,"12,654",7.8
GA,Peach,"6,240",24.0
GA,Pickens,"3,462",11.0
GA,Pierce,"3,490",18.1
GA,Pike,"1,947",10.6
GA,Polk,"9,079",21.8
GA,Pulaski,"2,361",23.9
GA,Putnam,"3,488",16.1
GA,Quitman,580,25.5
GA,Rabun,"2,346",14.2
GA,Randolph,"2,008",30.8
GA,Richmond,"41,554",21.9
GA,Rockdale,"11,803",13.2
GA,Schley,945,18.1
GA,Screven,"3,493",25.9
GA,Seminole,"2,083",25.4
GA,Spalding,"11,184",17.3
GA,Stephens,"4,092",16.3
GA,Stewart,"1,757",37.9
GA,Sumter,"7,208",25.7
GA,Talbot,"1,550",24.8
GA,Taliaferro,395,24.6
GA,Tattnall,"5,298",25.6
GA,Taylor,"1,813",22.9
GA,Telfair,"4,042",31.9
GA,Terrell,"2,311",27.8
GA,Thomas,"8,846",20.2
GA,Tift,"7,636",19.6
GA,Toombs,"6,615",24.9
GA,Towns,"1,704",16.0
GA,Treutlen,"1,684",26.3
GA,Troup,"13,643",20.2
GA,Turner,"2,109",27.9
GA,Twiggs,"1,719",21.3
GA,Union,"3,268",13.8
GA,Upson,"5,566",21.6
GA,Walker,"10,542",15.5
GA,Walton,"10,993",11.9
GA,Ware,"7,827",23.6
GA,Warren,"1,330",25.7
GA,Washington,"4,787",25.9
GA,Wayne,"5,147",18.6
GA,Webster,592,22.7
GA,Wheeler,"2,116",39.6
GA,White,"4,118",14.1
GA,Whitfield,"14,567",14.2
GA,Wilcox,"2,101",30.8
